gamma21,f_avg,delta1,log10_nmse
100,43.8776,-3.4872,-2.532346
0.1,38.7755,5.5385,-2.938159
0.1,27.5510,-5.1282,-3.331204
1,34.6939,0.6154,-0.275784
10,24.4898,6.7692,-1.756212
0.01,39.7959,3.4872,-0.879674
0.01,33.6735,2.6667,-0.905297
0.01,19.3878,0.2051,-1.036410
1,17.3469,-1.4359,-2.968335
0.01,38.7755,6.7692,-2.175548
10,24.4898,4.3077,-1.751330
10,14.2857,5.5385,-1.753709
10,48.9796,1.4359,-0.966490
1,0.0000,3.0769,-0.001113
1,13.2653,-7.1795,-1.771671
0.1,22.4490,-3.0769,-3.343485
100,15.3061,-0.6154,-2.473371
100,16.3265,1.8462,-2.330653
0.01,31.6327,-4.3077,-3.327830
10,34.6939,-2.2564,-3.355714
1,23.4694,6.3590,-0.962580
0.1,15.3061,-3.0769,-3.302645
0.1,14.2857,-4.7179,-1.770649
0.1,4.0816,-0.6154,-2.018116
0.01,12.2449,-4.3077,-1.747217
0.1,42.8571,-2.2564,-3.124196
100,19.3878,1.8462,-2.580161
1,15.3061,5.9487,-1.425549
10,34.6939,-3.8974,-0.835271
100,34.6939,-1.4359,-2.438525
0.01,3.0612,-1.0256,-1.148124
10,0.0000,1.0256,0.004684
0.01,50.0000,0.6154,-0.427623
100,13.2653,-6.3590,-2.369843
100,15.3061,5.9487,-2.520329
100,21.4286,6.3590,-2.443129
100,37.7551,3.8974,-2.631835
10,19.3878,-3.8974,-1.767027
10,21.4286,2.2564,-0.921640
10,30.6122,-4.3077,-1.751330
0.1,11.2245,1.4359,0.384721
10,42.8571,7.1795,-1.209509
100,39.7959,-5.5385,-2.494283
0.1,27.5510,-8.0000,-1.758636
100,38.7755,-3.8974,-2.367448
1,7.1429,7.5897,-1.765512
0.1,5.1020,3.8974,-1.767027
100,5.1020,3.4872,-2.661863
0.1,27.5510,-4.7179,-2.489789
0.1,22.4490,-4.7179,-2.993634
0.1,36.7347,0.6154,-0.070784
1,27.5510,-5.9487,-3.271705
1,21.4286,-3.4872,-3.375239
10,39.7959,1.8462,-0.668689
1,21.4286,3.0769,-0.859077
0.01,35.7143,-2.6667,-2.770365
100,39.7959,6.7692,-2.406586
0.1,18.3673,0.2051,-0.937630
10,13.2653,-2.2564,-1.765771
100,15.3061,-5.9487,-2.579752
100,40.8163,4.3077,-2.633673
100,50.0000,-2.2564,-2.427782
0.01,16.3265,7.1795,-2.456327
0.01,12.2449,6.7692,-1.752116
1,7.1429,8.0000,-1.758644
1,3.0612,-7.5897,-1.765514
100,6.1224,0.6154,-2.495101
0.01,26.5306,-0.2051,-2.926155
1,2.0408,0.2051,-1.748505
0.1,23.4694,-0.6154,-2.895863
0.1,50.0000,3.4872,-0.793032
100,37.7551,-0.2051,-2.012138
0.01,31.6327,-2.6667,-2.736821
0.01,35.7143,3.8974,-2.360351
10,47.9592,-5.1282,-1.766885
0.01,26.5306,-6.3590,-2.954423
0.01,15.3061,5.5385,-2.540081
100,47.9592,-5.9487,-2.340761
0.01,5.1020,4.7179,-1.765570
1,44.8980,-1.4359,-2.367407
1,42.8571,-5.9487,-3.030845
100,4.0816,-1.8462,-2.549332
0.01,35.7143,4.7179,-3.052331
0.1,9.1837,2.6667,-1.992951
10,9.1837,-6.7692,-1.756217
10,15.3061,8.0000,-1.758641
1,39.7959,-4.7179,-2.718248
0.01,31.6327,-5.5385,-2.665492
100,46.9388,5.5385,-2.559787
0.01,19.3878,-1.4359,-2.792746
0.1,1.0204,-3.4872,-1.769359
0.1,37.7551,-5.9487,-2.511756
10,21.4286,8.0000,-1.758637
0.01,10.2041,-1.4359,-2.714046
1,36.7347,-5.5385,-2.832802
100,4.0816,1.0256,-2.449354
100,48.9796,-6.3590,-2.357940
0.1,19.3878,-5.1282,-1.767069
0.01,18.3673,3.8974,-2.512707
1,11.2245,-0.2051,-2.797897
10,0.0000,-1.0256,-0.000250
100,34.6939,1.8462,-2.417848
0.1,1.0204,6.3590,-1.766498
0.1,36.7347,-8.0000,-2.671834
0.01,20.4082,-8.0000,-1.754023
100,46.9388,0.2051,-1.952953
0.1,8.1633,-5.1282,-1.767069
0.1,12.2449,7.1795,-1.771671
0.01,32.6531,0.2051,-0.448239
1,46.9388,-5.9487,-3.377559
100,11.2245,5.5385,-2.592654
10,24.4898,7.1795,-1.771671
0.1,48.9796,-7.5897,-2.963946
1,48.9796,-0.6154,-2.952687
0.01,12.2449,-0.6154,-3.296363
100,2.0408,-3.4872,-2.284935
0.01,34.6939,4.7179,-2.801690
10,50.0000,0.6154,-2.676480
100,41.8367,-3.8974,-2.459395
0.1,26.5306,-2.6667,-2.846041
100,41.8367,4.7179,-2.553432
0.01,6.1224,-8.0000,-1.755003
1,6.1224,-1.8462,-1.748056
0.1,47.9592,1.4359,-0.772723
0.1,36.7347,6.7692,-2.855238
0.01,29.5918,-7.1795,-1.762214
0.1,32.6531,5.1282,-2.887784
0.1,40.8163,-3.4872,-2.563454
100,19.3878,-2.2564,-2.361002
0.01,27.5510,5.9487,-2.927123
0.01,27.5510,-7.1795,-1.763824
0.1,3.0612,4.7179,-1.770649
100,6.1224,-5.1282,-2.585156
100,14.2857,-6.3590,-2.371471
1,17.3469,2.6667,0.027620
10,42.8571,-6.3590,-1.766494
100,38.7755,-4.3077,-2.345504
1,22.4490,2.6667,-0.696334
100,9.1837,-2.6667,-2.608083
100,21.4286,-4.3077,-2.608197
100,12.2449,3.4872,-2.571136
10,46.9388,0.2051,-3.006801
100,14.2857,-2.2564,-2.512906
100,2.0408,-1.8462,-2.528523
10,22.4490,6.7692,-1.756212
100,36.7347,-5.9487,-2.534894
100,9.1837,-2.2564,-2.505060
0.01,41.8367,-2.2564,-3.384027
100,50.0000,-3.8974,-2.499858
0.1,0.0000,6.3590,0.002895
100,17.3469,-6.3590,-2.471246
1,5.1020,-1.8462,-1.748056
1,40.8163,5.5385,-2.051444
100,30.6122,-7.1795,-1.771670
10,31.6327,0.2051,-2.023145
0.1,13.2653,7.1795,-1.771671
100,18.3673,1.0256,-2.537957
1,3.0612,-7.1795,-1.771673
100,45.9184,-1.0256,-2.362654
100,41.8367,6.7692,-2.390324
10,2.0408,7.5897,-1.765514
0.01,30.6122,5.5385,-2.812732
0.01,8.1633,1.0256,-1.279696
100,44.8980,2.6667,-2.451548
100,3.0612,5.5385,-2.254608
0.1,33.6735,3.8974,-2.043707
1,9.1837,-5.9487,-1.771293
0.01,45.9184,3.8974,-2.735101
0.01,39.7959,-1.8462,-3.382033
100,38.7755,-1.0256,-2.212820
10,26.5306,5.5385,-1.753711
1,13.2653,-0.2051,-3.338270
100,48.9796,1.8462,-2.329386
10,47.9592,7.1795,-1.563498
0.1,24.4898,-3.8974,-2.416889
0.1,21.4286,-0.6154,-2.778935
100,11.2245,-2.2564,-2.565401
100,7.1429,-7.1795,-1.771671
100,15.3061,4.3077,-2.581910
100,4.0816,-4.7179,-2.562203
0.01,35.7143,1.0256,-0.610616
100,15.3061,-4.7179,-2.649887
0.1,23.4694,-6.7692,-1.756212
1,31.6327,7.1795,-1.253073
100,3.0612,-7.1795,-1.771673
10,44.8980,0.2051,-3.231407
0.01,9.1837,-0.6154,0.800975
0.1,7.1429,-8.0000,-1.758644
10,32.6531,-0.6154,-2.640829
100,39.7959,0.6154,-1.991052
100,33.6735,3.4872,-2.600589
0.01,3.0612,-2.6667,-0.794239
0.1,23.4694,-7.1795,-1.771671
0.01,15.3061,0.2051,-0.875847
10,14.2857,-5.9487,-1.771294
0.01,17.3469,-2.2564,-3.066476
1,16.3265,7.1795,-1.771671
10,40.8163,-8.0000,-1.758637
10,27.5510,1.4359,-2.293213
0.01,13.2653,5.1282,-1.286707
0.1,23.4694,6.7692,-1.208728
10,4.0816,-1.0256,-1.751582
1,28.5714,-3.4872,-3.327034
0.1,43.8776,-5.5385,-2.878630
0.1,14.2857,5.1282,-2.127550
0.1,8.1633,3.0769,-1.749336
10,3.0612,-1.4359,-1.759344
0.01,8.1633,-4.7179,-1.761109
1,7.1429,-8.0000,-1.758644
10,19.3878,5.9487,-1.771293
100,3.0612,4.7179,-2.553862
0.01,10.2041,5.9487,-1.763836
0.01,30.6122,2.6667,-1.052190
1,41.8367,-3.8974,-3.106046
0.01,48.9796,6.7692,-2.628042
0.1,9.1837,-6.7692,-1.756217
1,14.2857,6.7692,-1.756216
100,32.6531,-7.5897,-1.765512
0.1,9.1837,0.6154,-0.960972
10,10.2041,-0.2051,-0.633069
100,26.5306,7.1795,-1.771670
0.1,18.3673,8.0000,-2.005791
1,14.2857,0.2051,-0.761198
1,36.7347,5.9487,-0.468218
0.1,36.7347,-1.4359,-2.725978
100,46.9388,2.6667,-2.459518
0.01,23.4694,-6.3590,-1.759221
0.1,24.4898,-0.2051,-2.358721
100,27.5510,-4.3077,-2.522701
1,34.6939,-7.1795,-3.025654
0.01,43.8776,6.7692,-2.528101
10,42.8571,-1.8462,-3.352488
100,42.8571,-5.9487,-2.509894
1,14.2857,-6.3590,-1.766495
0.01,12.2449,0.2051,-0.743615
0.01,2.0408,3.8974,-1.762758
0.1,20.4082,-6.7692,-1.756212
1,1.0204,-2.6667,-1.765628
0.01,20.4082,2.2564,-2.121591
100,40.8163,-1.8462,-2.440636
1,27.5510,5.5385,-1.582484
0.1,12.2449,3.4872,-2.033150
0.1,0.0000,-7.5897,0.001056
100,1.0204,-1.4359,-2.303096
0.01,33.6735,4.7179,-2.606888
0.1,1.0204,-3.0769,-1.749360
100,34.6939,2.2564,-2.538346
10,30.6122,-7.5897,-1.765512
0.01,13.2653,0.6154,-0.414135
10,2.0408,-8.0000,-1.758641
0.01,11.2245,-6.7692,-1.751480
0.01,7.1429,-4.3077,-1.742454
0.1,48.9796,1.0256,-0.242390
10,26.5306,-5.5385,-1.753711
10,32.6531,-2.6667,-1.031872
0.01,32.6531,5.9487,-2.846957
10,18.3673,2.2564,-0.935963
100,36.7347,-2.6667,-2.464232
0.01,10.2041,7.5897,-1.758585
10,13.2653,-7.5897,-1.765514
0.1,6.1224,3.8974,-1.767027
0.1,42.8571,-8.0000,-2.745454
0.01,7.1429,4.7179,-1.764996
100,10.2041,-5.5385,-2.449548
1,43.8776,-7.5897,-2.791228
100,16.3265,-6.7692,-2.223483
0.1,0.0000,-1.8462,0.000145
100,35.7143,3.8974,-2.640228
0.01,28.5714,-7.5897,-1.756476
100,41.8367,2.2564,-2.438153
100,7.1429,5.5385,-2.641808
0.01,25.5102,-4.7179,-2.463382
0.1,23.4694,4.3077,-1.962021
0.1,36.7347,8.0000,-2.623510
10,25.5102,5.9487,-1.771293
1,36.7347,7.1795,-1.330149
10,32.6531,3.4872,-0.722936
0.1,1.0204,7.5897,-1.765517
0.1,21.4286,-3.0769,-3.031039
0.01,16.3265,3.8974,-2.202126
1,27.5510,3.0769,-0.991418
0.01,20.4082,-7.1795,-1.761888
0.1,38.7755,5.1282,-2.895880
100,33.6735,7.5897,-1.765512
0.01,25.5102,4.3077,-2.818751
1,32.6531,6.7692,-1.247058
10,12.2449,4.3077,-1.751330
100,30.6122,1.4359,-2.489484
0.01,48.9796,-3.0769,-2.159116
0.1,9.1837,-0.2051,-1.503979
0.1,29.5918,-3.8974,-2.850181
1,48.9796,7.1795,-1.922643
10,50.0000,-7.5897,-1.765511
1,44.8980,-6.3590,-3.373234
10,30.6122,-5.5385,-1.753711
10,28.5714,1.0256,-2.458085
0.1,10.2041,8.0000,-1.758642
10,36.7347,6.3590,-1.845846
100,19.3878,2.2564,-2.370433
1,41.8367,6.7692,-1.430473
100,44.8980,1.4359,-2.346889
100,19.3878,-8.0000,-1.758638
10,5.1020,4.7179,-1.770649
1,50.0000,3.8974,-1.375371
0.1,12.2449,-3.0769,-2.174525
0.1,3.0612,-2.2564,-1.763354
0.01,23.4694,0.6154,0.252974
0.1,37.7551,5.9487,-2.895229
0.01,35.7143,1.4359,-1.050957
100,16.3265,0.2051,-2.445758
0.01,10.2041,-1.0256,-2.801444
1,33.6735,3.0769,-1.007544
10,21.4286,-0.2051,-3.357024
1,1.0204,5.5385,-1.753719
10,30.6122,-8.0000,-1.758635
100,25.5102,-0.2051,-2.260559
100,21.4286,1.0256,-2.509815
0.01,44.8980,3.4872,-0.779805
10,13.2653,-5.9487,-1.771294
100,0.0000,-8.0000,2.453202
100,21.4286,-1.4359,-2.497314
100,43.8776,-5.1282,-2.445020
0.01,27.5510,-5.1282,-3.178595
0.01,23.4694,1.0256,-0.673372
0.1,21.4286,0.2051,-0.749007
0.1,9.1837,-2.6667,-1.765627
100,2.0408,-2.6667,-2.097679
100,46.9388,6.3590,-2.432465
10,17.3469,-2.6667,-1.765627
0.01,14.2857,7.1795,-2.230224
0.01,50.0000,3.4872,-0.504031
0.01,23.4694,4.3077,-1.876823
0.1,14.2857,-2.6667,-2.970540
100,42.8571,1.0256,-2.281963
0.01,44.8980,5.1282,-2.723987
10,35.7143,7.1795,-1.771670
0.1,4.0816,2.6667,-1.765627
100,11.2245,7.5897,-1.765514
1,22.4490,3.8974,-1.197889
100,28.5714,3.0769,-2.587788
100,32.6531,-3.4872,-2.297274
1,2.0408,-6.3590,-1.766496
0.01,40.8163,0.2051,0.202807
1,46.9388,1.0256,-0.366183
10,37.7551,0.6154,-3.241395
0.1,44.8980,8.0000,-2.341622
10,23.4694,-4.7179,-1.770649
100,40.8163,3.8974,-2.611241
10,14.2857,5.9487,-1.771294
100,24.4898,-0.2051,-2.354170
1,39.7959,-6.7692,-2.579602
10,45.9184,-4.7179,-1.689954
10,30.6122,-3.8974,-1.342211
10,13.2653,2.2564,-1.765771
0.01,1.0204,3.0769,-1.737386
1,3.0612,-0.6154,-1.747673
0.01,10.2041,-1.8462,-2.963465
100,4.0816,-0.2051,-2.518115
0.01,28.5714,4.3077,-2.910986
100,5.1020,3.0769,-2.641093
0.01,39.7959,8.0000,-2.579646
0.1,19.3878,0.6154,-0.108128
0.01,5.1020,-0.2051,-0.535439
1,25.5102,8.0000,-2.122338
0.1,39.7959,4.7179,-2.654354
0.1,40.8163,8.0000,-2.513081
10,34.6939,1.4359,-2.529102
0.1,16.3265,-3.4872,-2.664688
1,20.4082,2.6667,-0.244267
0.1,35.7143,-3.8974,-2.667215
1,36.7347,3.8974,-1.169559
10,35.7143,2.6667,-1.302983
0.01,36.7347,-7.1795,-2.564153
0.01,23.4694,4.7179,-2.556392
1,4.0816,-2.6667,-1.765627
0.01,24.4898,-6.7692,-1.750490
100,5.1020,5.1282,-2.765543
0.01,14.2857,5.1282,-2.416742
100,19.3878,5.1282,-2.530673
1,46.9388,-5.1282,-3.365008
10,45.9184,3.4872,-0.849948
100,0.0000,3.8974,2.212529
10,36.7347,-4.7179,-1.290818
10,30.6122,4.3077,-1.256669
1,9.1837,8.0000,-1.758642
0.1,50.0000,8.0000,-1.909902
10,3.0612,7.5897,-1.765514
0.1,48.9796,3.4872,-0.838098
1,24.4898,6.7692,-1.175613
1,28.5714,5.5385,-1.511098
1,46.9388,8.0000,-2.502484
1,1.0204,-5.1282,-1.767069
0.1,17.3469,6.3590,-1.250459
100,3.0612,-3.8974,-2.429654
0.1,36.7347,-3.8974,-3.186869
1,16.3265,-4.3077,-1.751330
0.01,50.0000,-5.5385,-2.865344
1,19.3878,-3.8974,-2.677008
100,10.2041,-3.4872,-2.603791
0.01,17.3469,-1.0256,-3.105520
100,6.1224,-1.0256,-2.529153
1,12.2449,8.0000,-1.758643
0.01,8.1633,-2.6667,-2.476404
0.1,13.2653,-5.1282,-1.767068
1,1.0204,5.1282,-1.767069
10,39.7959,-6.7692,-1.756211
100,35.7143,-3.8974,-2.398231
1,47.9592,-3.0769,-3.181561
10,1.0204,-2.6667,-1.765628
1,4.0816,-1.8462,-1.748056
100,20.4082,-2.2564,-2.302246
0.01,32.6531,3.8974,-2.722454
0.1,34.6939,-5.1282,-2.976200
0.01,45.9184,-8.0000,-3.265468
1,50.0000,-5.9487,-3.313657
10,8.1633,-8.0000,-1.758647
100,38.7755,-3.4872,-2.592584
0.01,18.3673,-3.8974,-2.147507
0.01,50.0000,1.8462,-0.459888
0.1,10.2041,-7.1795,-1.771672
0.1,0.0000,6.7692,-0.008379
100,47.9592,-3.8974,-2.546516
10,20.4082,-8.0000,-1.758638
1,27.5510,-2.2564,-3.329306
0.1,15.3061,0.6154,-0.371301
100,30.6122,8.0000,-1.758635
0.01,15.3061,-1.8462,-2.670038
100,34.6939,1.0256,-2.324684
0.01,4.0816,5.9487,-1.767401
0.1,38.7755,7.1795,-2.921517
100,16.3265,1.0256,-2.510199
0.01,22.4490,0.6154,0.143378
0.1,15.3061,-2.2564,-2.842469
0.01,48.9796,1.0256,-0.453193
10,25.5102,-5.9487,-1.771293
1,29.5918,3.4872,-0.908401
100,46.9388,1.4359,-2.292623
0.01,34.6939,-3.8974,-2.998562
100,8.1633,-7.5897,-1.765512
0.1,14.2857,-1.8462,-2.428228
0.1,20.4082,-8.0000,-1.758638
100,22.4490,-6.3590,-2.552333
10,16.3265,-4.7179,-1.770649
0.1,8.1633,7.5897,-1.765512
0.1,1.0204,-3.8974,-1.767025
1,16.3265,3.4872,-0.231126
0.1,26.5306,-0.6154,-3.150111
100,41.8367,3.8974,-2.590620
10,20.4082,-1.4359,-1.323934
100,5.1020,-0.6154,-2.513796
0.01,24.4898,-1.8462,-2.982324
10,7.1429,-5.1282,-1.767068
100,18.3673,0.2051,-2.479487
10,7.1429,-3.8974,-1.767027
0.1,22.4490,2.2564,-1.832192
0.01,14.2857,-3.4872,-3.251632
0.1,16.3265,1.8462,-0.484797
0.1,2.0408,4.7179,-1.770649
10,35.7143,-1.8462,-3.349611
1,42.8571,-2.2564,-1.816546
0.1,24.4898,8.0000,-0.778253
0.01,4.0816,2.2564,-2.366195
100,20.4082,7.1795,-1.771672
100,31.6327,3.8974,-2.636014
10,9.1837,-5.9487,-1.771293
0.1,2.0408,0.6154,-2.181927
0.1,25.5102,2.2564,-1.301693
10,34.6939,2.6667,-1.204509
0.1,36.7347,3.4872,-0.993441
0.01,38.7755,2.2564,-0.933287
0.01,24.4898,2.6667,-2.313753
10,18.3673,3.8974,-1.767027
1,16.3265,-3.4872,-3.362598
100,6.1224,2.2564,-2.611739
100,28.5714,-1.8462,-2.514431
1,45.9184,-5.5385,-3.190669
100,33.6735,8.0000,-1.758635
10,28.5714,-4.7179,-1.770649
0.01,22.4490,7.1795,-2.645765
1,21.4286,6.3590,-1.195710
100,47.9592,5.9487,-2.473188
0.1,22.4490,-6.7692,-1.756212
0.1,13.2653,4.3077,-1.988237
100,27.5510,0.6154,-2.436045
0.1,19.3878,-0.2051,-2.966277
0.1,48.9796,5.5385,-2.750633
1,36.7347,2.6667,-0.749464
0.1,23.4694,-1.0256,-3.024410
1,4.0816,1.8462,-1.748056
0.01,4.0816,1.4359,-1.618556
0.1,5.1020,-5.5385,-1.753713
100,27.5510,-2.6667,-2.272165
100,30.6122,3.0769,-2.558951
0.1,2.0408,-2.6667,-1.765718
1,44.8980,5.9487,-2.220315
0.1,21.4286,2.2564,-1.518814
1,13.2653,2.2564,-0.277022
1,47.9592,-0.6154,-2.938900
0.1,35.7143,-4.7179,-2.594292
10,5.1020,-5.9487,-1.771293
10,39.7959,3.4872,-0.720931
0.01,39.7959,-2.2564,-3.277837
0.1,42.8571,-1.4359,-1.984410
0.1,1.0204,-4.3077,-1.751320
0.1,0.0000,2.2564,0.016114
100,22.4490,-5.1282,-2.529751
100,35.7143,3.4872,-2.579652
0.01,18.3673,-1.8462,-3.057620
100,29.5918,-5.5385,-2.551073
0.1,40.8163,0.2051,-0.192550
10,31.6327,-5.9487,-1.771293
100,33.6735,5.5385,-1.873499
0.1,20.4082,-6.3590,-1.766494
0.1,20.4082,7.1795,-1.634974
100,12.2449,2.6667,-2.553428
100,45.9184,-7.5897,-1.765511
1,39.7959,-4.3077,-3.011532
100,0.0000,-5.9487,2.189875
100,14.2857,-5.1282,-2.665361
1,15.3061,5.1282,-1.625891
0.01,4.0816,-8.0000,-1.755820
1,32.6531,-0.6154,-3.282082
1,33.6735,-2.6667,-2.258719
0.1,47.9592,1.8462,-0.817549
0.01,38.7755,1.4359,-0.818720
0.01,38.7755,4.7179,-3.027115
10,20.4082,3.8974,-1.767027
100,40.8163,3.0769,-2.508781
0.1,20.4082,5.9487,-2.030293
0.01,25.5102,-1.8462,-3.211056
10,45.9184,-3.8974,-1.007657
0.1,44.8980,7.5897,-2.149500
1,5.1020,0.6154,-1.543420
1,35.7143,-2.2564,-1.856561
1,24.4898,4.7179,-1.735026
100,20.4082,1.4359,-2.510424
1,16.3265,-6.3590,-1.766495
0.01,47.9592,-0.2051,-3.025049
100,10.2041,4.3077,-2.527473
1,1.0204,2.6667,-1.765628
0.01,15.3061,-8.0000,-1.753611
100,41.8367,2.6667,-2.484972
0.01,14.2857,1.4359,-0.071719
0.1,12.2449,-5.9487,-1.771294
100,10.2041,2.2564,-2.585224
100,12.2449,-3.8974,-2.612943
0.1,17.3469,8.0000,-2.368081
1,23.4694,-4.7179,-3.358781
0.1,14.2857,-7.1795,-1.771671
100,11.2245,-1.8462,-2.530662
100,24.4898,-5.9487,-2.465763
10,41.8367,-4.7179,-1.302785
1,23.4694,-7.1795,-1.771671
10,16.3265,-0.2051,-3.013689
10,41.8367,-0.6154,-2.731464
100,39.7959,5.1282,-2.510075
1,17.3469,-5.1282,-1.767068
100,9.1837,-7.1795,-1.771672
0.1,31.6327,8.0000,-2.612067
1,22.4490,-1.0256,-2.875708
100,15.3061,-8.0000,-1.758641
10,1.0204,-7.1795,-1.771675
0.1,34.6939,-1.8462,-3.324823
100,50.0000,7.1795,-2.353962
0.1,50.0000,6.7692,-2.342908
10,31.6327,-4.7179,-1.770649
0.01,8.1633,6.3590,-1.761872
0.01,11.2245,0.2051,-1.087982
0.01,33.6735,-7.1795,-3.218477
100,4.0816,-7.5897,-1.765520
100,10.2041,-6.7692,-1.932636
100,38.7755,-6.3590,-2.447259
10,15.3061,4.7179,-1.770649
0.1,5.1020,-0.6154,-2.058103
1,24.4898,-1.0256,-3.375671
100,3.0612,5.9487,-2.045345
0.1,1.0204,-6.7692,-1.756225
0.01,20.4082,-2.6667,-3.026318
0.01,36.7347,5.9487,-2.644643
100,9.1837,1.8462,-2.550455
0.1,37.7551,1.0256,-0.680727
100,28.5714,3.8974,-2.650096
100,8.1633,8.0000,-1.758647
1,5.1020,-1.0256,-1.751582
0.1,4.0816,-1.8462,-1.740215
1,34.6939,-4.7179,-3.055338
100,40.8163,-6.3590,-2.426255
10,38.7755,-3.4872,-0.989216
1,18.3673,1.8462,-0.195934
1,9.1837,6.3590,-1.766494
0.1,29.5918,5.1282,-1.293365
0.1,36.7347,-4.7179,-2.751585
1,14.2857,7.5897,-1.765515
10,24.4898,5.5385,-1.753711
10,5.1020,8.0000,-1.758643
1,34.6939,8.0000,-0.915508
100,19.3878,3.8974,-2.467162
100,36.7347,4.3077,-2.581441
1,48.9796,-4.3077,-3.228508
0.1,22.4490,6.7692,-1.937186
10,41.8367,-2.2564,-3.350501
1,4.0816,-0.2051,-1.830728
1,31.6327,-3.4872,-3.021559
10,10.2041,1.4359,-1.739175
10,5.1020,-3.0769,-1.749336
10,45.9184,-5.1282,-1.066963
1,36.7347,6.3590,-1.392546
10,19.3878,6.3590,-1.766494
1,29.5918,2.6667,-0.917767
0.1,3.0612,8.0000,-1.758649
1,50.0000,-7.5897,-2.706216
1,43.8776,1.4359,-0.304451
1,47.9592,1.0256,-0.380114
100,37.7551,-7.5897,-1.765512
100,12.2449,-4.7179,-2.630523
100,30.6122,-2.6667,-2.540244
1,0.0000,-2.6667,0.000574
1,37.7551,6.7692,-1.253621
0.1,38.7755,-7.5897,-2.412974
10,12.2449,-5.1282,-1.767067
100,5.1020,7.5897,-1.765516
1,37.7551,3.8974,-1.462279
100,7.1429,2.2564,-2.567557
0.1,39.7959,-4.3077,-2.365756
0.01,12.2449,-4.7179,-1.760477
0.01,21.4286,4.3077,-1.983413
100,14.2857,5.9487,-2.539481
100,22.4490,3.0769,-2.246080
1,12.2449,5.9487,-1.771294
0.01,2.0408,-6.3590,-1.765962
0.1,47.9592,-3.0769,-3.156699
10,40.8163,0.6154,-3.177528
1,14.2857,-4.3077,-1.751330
1,4.0816,0.2051,-0.188851
0.01,10.2041,4.3077,-1.746514
10,16.3265,1.0256,0.293227
100,5.1020,-6.3590,-1.884981
100,31.6327,0.6154,-2.279814
1,32.6531,-3.0769,-3.364440
0.1,47.9592,-4.3077,-3.100281
10,29.5918,7.5897,-1.765512
0.01,37.7551,-1.4359,-2.506498
1,50.0000,-4.3077,-2.675521
0.1,0.0000,-5.5385,0.011230
100,26.5306,-6.7692,-2.293664
10,20.4082,4.3077,-1.751330
10,12.2449,3.8974,-1.767026
10,18.3673,-6.7692,-1.756213
100,33.6735,3.0769,-2.555202
0.1,47.9592,5.1282,-2.728252
0.01,50.0000,-7.5897,-2.807413
1,32.6531,8.0000,-1.243182
0.01,27.5510,3.4872,-1.797087
100,15.3061,0.6154,-2.517229
0.01,31.6327,-3.8974,-2.943136
1,36.7347,4.3077,-1.824996
0.1,0.0000,0.2051,0.001744
100,8.1633,-7.1795,-1.771672
0.1,17.3469,0.6154,-0.063658
10,32.6531,6.3590,-1.766494
1,23.4694,1.4359,-0.189370
1,0.0000,-5.9487,0.005210
0.1,9.1837,3.4872,-1.769340
100,29.5918,-4.7179,-2.540426
10,7.1429,3.4872,-1.769358
100,1.0204,-0.6154,-2.594112
0.01,14.2857,0.2051,-0.429399
0.01,29.5918,0.2051,-0.317485
100,3.0612,3.4872,-2.722276
100,23.4694,-6.7692,-2.330396
0.01,19.3878,2.6667,-1.787465
1,47.9592,-6.7692,-3.059474
0.01,8.1633,8.0000,-1.752212
0.1,1.0204,-5.9487,-1.771294
10,25.5102,0.6154,-3.328100
1,10.2041,-5.5385,-1.753714
0.01,40.8163,7.5897,-2.684817
0.01,42.8571,2.2564,-0.875659
0.1,35.7143,5.9487,-2.857398
100,30.6122,2.6667,-2.457924
10,17.3469,-5.9487,-1.771294
0.01,42.8571,7.1795,-2.969137
10,48.9796,-4.3077,-1.569427
1,36.7347,-1.0256,-3.193038
100,45.9184,2.2564,-2.501010
10,12.2449,5.5385,-1.753716
10,7.1429,1.8462,-1.748056
0.01,28.5714,3.4872,-1.490034
1,40.8163,-3.4872,-3.213173
1,9.1837,-4.7179,-1.770649
1,17.3469,6.7692,-1.945828
0.1,47.9592,2.2564,-0.805048
10,9.1837,4.7179,-1.770649
10,7.1429,-1.4359,-1.759344
0.01,34.6939,1.4359,-0.979529
1,0.0000,-4.7179,-0.000570
10,25.5102,-2.2564,-0.953830
100,25.5102,6.3590,-2.217422
1,3.0612,-5.5385,-1.753721
10,12.2449,6.3590,-1.766494
1,45.9184,0.6154,-0.427860
10,0.0000,-0.6154,0.000684
10,35.7143,-3.4872,-1.131125
0.01,9.1837,7.1795,-1.764934
100,18.3673,-0.2051,-2.439805
0.01,29.5918,1.0256,-0.353484
1,14.2857,1.4359,0.077567
1,0.0000,-7.1795,0.002728
0.01,48.9796,-8.0000,-3.262971
0.01,30.6122,1.4359,-1.082325
0.1,42.8571,0.2051,-0.187898
100,35.7143,-2.2564,-2.484794
10,50.0000,1.0256,-1.901641
0.01,4.0816,8.0000,-1.753642
0.01,5.1020,-7.1795,-1.761772
1,17.3469,-5.5385,-1.753709
0.1,1.0204,-4.7179,-1.770646
1,20.4082,-1.0256,-3.060372
0.1,7.1429,5.1282,-1.767068
100,25.5102,-5.1282,-2.558296
1,40.8163,1.0256,-0.457243
100,0.0000,8.0000,2.449810
100,21.4286,3.0769,-2.218181
100,7.1429,6.3590,-2.281480
100,3.0612,5.1282,-2.488401
0.1,34.6939,2.6667,-0.618854
