gamma21,f_avg,delta1,log10_nmse
1,0.0000,0.2051,-0.031255
100,26.5306,-2.2564,-2.553513
10,22.4490,4.3077,-1.751330
10,43.8776,-0.2051,-3.343844
0.01,17.3469,-6.3590,-1.759185
0.01,22.4490,3.4872,-1.576909
1,8.1633,-4.7179,-1.770649
100,3.0612,1.0256,-2.575185
1,28.5714,2.2564,-0.724814
1,27.5510,0.2051,-0.404890
1,44.8980,8.0000,-2.386036
1,12.2449,0.6154,-0.934247
0.1,22.4490,8.0000,0.931600
10,38.7755,5.5385,-1.735875
0.1,6.1224,8.0000,-1.758644
1,34.6939,-3.4872,-3.353873
0.1,31.6327,-7.1795,-2.958690
0.1,9.1837,-7.5897,-1.765513
0.1,7.1429,0.2051,-0.023212
1,28.5714,4.3077,-1.754317
100,15.3061,3.0769,-2.484049
100,17.3469,1.0256,-2.480120
0.01,13.2653,-5.9487,-1.762580
0.01,34.6939,5.1282,-3.040179
1,35.7143,0.6154,-0.229462
0.01,15.3061,-6.3590,-1.759255
0.1,14.2857,7.5897,-1.765440
0.1,2.0408,7.5897,-1.765514
10,38.7755,-2.2564,-3.351449
1,34.6939,6.7692,-1.169931
0.1,23.4694,-0.2051,-2.733911
100,4.0816,-3.8974,-2.638137
1,19.3878,5.9487,-1.287642
1,48.9796,-1.4359,-3.352001
10,46.9388,0.6154,-2.851377
1,7.1429,3.8974,-1.767027
1,20.4082,-6.3590,-1.766494
10,31.6327,8.0000,-1.758636
10,40.8163,-6.7692,-1.756211
0.1,0.0000,-5.1282,0.003425
0.01,27.5510,-5.9487,-3.186356
1,14.2857,-5.5385,-1.753709
10,50.0000,-0.6154,-3.246118
0.01,6.1224,-7.1795,-1.768621
10,3.0612,-3.4872,-1.769358
100,22.4490,-4.7179,-2.618880
100,50.0000,-6.7692,-2.139088
10,43.8776,6.7692,-1.735280
100,28.5714,-3.8974,-2.502159
1,4.0816,-0.6154,-1.747673
1,24.4898,6.3590,-1.455420
10,31.6327,-2.6667,-0.264030
1,50.0000,8.0000,-2.378922
10,17.3469,1.4359,-0.285948
100,6.1224,-4.3077,-2.743453
10,20.4082,2.6667,-1.072415
0.1,32.6531,3.8974,-2.057143
1,22.4490,1.0256,-0.142112
100,15.3061,1.8462,-2.086949
100,9.1837,-3.4872,-2.617006
0.01,6.1224,-0.6154,-1.063697
1,16.3265,-5.9487,-1.771294
100,47.9592,0.2051,0.261985
0.01,7.1429,-6.7692,-1.753461
10,7.1429,4.3077,-1.751330
1,44.8980,2.2564,-0.343145
1,36.7347,-2.2564,-3.342622
1,42.8571,3.0769,-0.761514
100,11.2245,-2.6667,-2.562195
0.1,17.3469,-5.9487,-1.771294
0.01,23.4694,-3.4872,-3.201606
0.1,24.4898,7.1795,-1.867331
0.01,44.8980,4.7179,-2.977681
0.01,33.6735,0.2051,-0.087874
100,25.5102,-4.7179,-2.599303
100,1.0204,0.6154,-2.596005
1,32.6531,-7.1795,-3.238921
100,20.4082,3.4872,-2.247856
10,14.2857,-5.5385,-1.753709
10,33.6735,-6.7692,-1.756212
0.1,45.9184,3.8974,-1.953029
0.1,29.5918,2.6667,-0.566992
10,0.0000,-6.7692,0.000125
100,2.0408,-3.8974,-1.883548
0.01,36.7347,3.0769,-0.929501
1,43.8776,3.0769,-1.009615
0.1,47.9592,-1.0256,-3.308955
0.1,47.9592,-5.1282,-2.911538
1,12.2449,2.6667,-1.664719
1,43.8776,-8.0000,-3.388673
100,30.6122,3.8974,-2.663398
0.01,11.2245,1.4359,-0.792104
0.01,9.1837,1.8462,-1.964296
100,7.1429,-1.8462,-2.460075
10,31.6327,-3.0769,-1.609559
10,8.1633,6.7692,-1.756217
0.1,14.2857,6.7692,0.077913
100,46.9388,8.0000,-1.758636
0.1,43.8776,1.4359,-0.736953
0.01,36.7347,5.1282,-2.803983
10,35.7143,5.9487,-1.870590
100,45.9184,-0.2051,-1.781096
0.1,46.9388,3.8974,-2.022902
100,21.4286,-7.5897,-1.765513
1,18.3673,5.5385,-1.507267
1,23.4694,5.1282,-1.168416
100,17.3469,-5.1282,-2.572198
0.01,43.8776,-0.6154,-2.945054
10,9.1837,6.7692,-1.756217
0.01,18.3673,-5.9487,-1.765084
0.01,45.9184,3.4872,-0.959762
0.01,41.8367,5.9487,-2.801736
1,21.4286,5.9487,-1.312436
1,29.5918,-7.5897,-1.765512
0.01,33.6735,7.1795,-2.825936
10,7.1429,2.2564,-1.765771
1,46.9388,-1.4359,-3.364480
0.01,21.4286,1.4359,-0.596101
1,40.8163,8.0000,-0.958176
1,14.2857,0.6154,-0.866014
1,38.7755,-3.4872,-1.667450
10,12.2449,3.0769,-1.749336
0.01,25.5102,8.0000,-2.974386
10,6.1224,-0.6154,-1.514964
10,42.8571,-6.7692,-1.756211
0.1,46.9388,3.0769,-0.408516
100,22.4490,-2.6667,-2.267954
0.01,38.7755,1.8462,-0.698948
1,31.6327,2.2564,-0.666784
100,3.0612,1.8462,-2.644239
10,17.3469,1.8462,-1.196468
0.01,38.7755,-1.0256,-3.328923
0.1,11.2245,1.0256,-0.023512
0.1,46.9388,3.4872,-0.302521
1,47.9592,4.7179,-2.263258
10,17.3469,-5.1282,-1.767068
0.1,15.3061,5.5385,-1.898895
0.1,13.2653,-3.8974,-1.767027
0.01,44.8980,4.3077,-2.987738
0.01,11.2245,-2.2564,-3.335832
1,40.8163,1.4359,-0.653358
100,20.4082,-5.9487,-2.585076
10,35.7143,-5.1282,-1.767069
0.1,10.2041,-6.7692,-1.756214
1,28.5714,4.7179,-1.577413
0.01,48.9796,-0.2051,-1.900329
10,47.9592,-0.2051,-3.240677
100,8.1633,-3.4872,-2.622239
1,18.3673,-5.1282,-1.767069
1,43.8776,1.0256,-0.486023
1,33.6735,-7.1795,-2.228435
1,8.1633,2.2564,-1.102464
1,12.2449,4.7179,-1.770649
0.01,9.1837,-3.8974,-1.755936
1,5.1020,-0.2051,-1.877378
10,42.8571,3.4872,-0.763169
0.1,34.6939,7.1795,-2.453972
10,3.0612,0.2051,-1.748483
1,8.1633,4.3077,-1.751330
1,18.3673,-2.2564,-2.318562
10,2.0408,6.7692,-1.756222
0.1,15.3061,5.9487,-1.360007
100,35.7143,-8.0000,-1.758635
0.1,43.8776,-3.8974,-2.989865
0.01,40.8163,-6.3590,-2.780411
0.01,2.0408,-0.2051,-1.766411
100,37.7551,-7.1795,-1.771670
10,6.1224,-2.2564,-1.765771
10,22.4490,-6.3590,-1.766494
0.1,20.4082,3.0769,-1.888783
0.1,16.3265,1.4359,-0.003848
1,39.7959,-5.9487,-3.116921
1,43.8776,6.7692,-1.324007
0.1,20.4082,-7.1795,-1.771672
1,37.7551,-1.0256,-2.972553
0.01,42.8571,1.0256,-0.710018
100,5.1020,5.5385,-2.549999
10,14.2857,4.3077,-1.751330
10,39.7959,2.6667,-1.192437
100,23.4694,0.2051,-2.280270
0.1,20.4082,4.3077,-1.867199
10,8.1633,1.0256,-1.299239
0.1,0.0000,-5.9487,0.000440
0.1,22.4490,7.1795,-1.678137
0.01,42.8571,-3.0769,-2.873203
1,1.0204,1.8462,-1.748056
10,5.1020,-1.0256,-1.751582
0.1,23.4694,5.5385,-2.053270
1,26.5306,1.8462,-0.350662
100,28.5714,-5.5385,-2.524832
100,19.3878,-1.8462,-2.342550
100,34.6939,-5.5385,-2.506048
0.01,39.7959,4.7179,-2.933165
0.01,35.7143,-7.5897,-2.512709
0.01,22.4490,-0.6154,-3.166480
100,6.1224,-4.7179,-2.368547
