gamma21,f_avg,delta1,log10_nmse
1.0,25.5102,8.0000,-2.139048
1.8,22.6531,-6.3590,-1.779921
2.2,10.8163,-3.4872,-1.782603
0.6,17.3469,-7.1795,-1.784744
1.4,23.8776,-5.5385,-3.377183
1.0,16.1224,3.4872,-0.757219
0.6,22.6531,-8.0000,-1.772065
2.2,18.5714,-5.9487,-1.784400
1.0,12.0408,-5.5385,-1.767053
0.2,14.0816,-2.2564,-3.373356
0.6,27.1429,-1.0256,-3.324261
0.2,25.5102,8.0000,-1.379345
2.2,28.7755,-1.8462,-3.348469
1.0,18.1633,-2.6667,-2.893366
1.4,14.4898,-6.3590,-1.779922
1.8,25.9184,-2.6667,-3.349968
1.8,25.9184,7.1795,-0.044484
1.0,10.0000,3.0769,-1.616482
1.8,18.5714,-6.3590,-1.779922
1.4,14.4898,6.3590,-1.779922
2.2,29.1837,-2.6667,-3.362072
0.6,14.4898,3.0769,-0.905722
2.2,27.5510,-3.4872,-3.365975
2.2,25.1020,-7.5897,-1.778967
0.2,15.7143,-0.2051,-2.292274
0.2,11.6327,3.4872,-1.892996
1.4,22.2449,-0.6154,-2.348285
1.0,14.4898,-7.1795,-1.784744
1.0,10.8163,7.1795,-1.784744
1.0,12.0408,-8.0000,-1.772071
1.0,18.5714,-0.6154,-2.567864
1.4,26.3265,-4.7179,-3.052278
0.6,28.3673,-8.0000,-1.772063
0.2,11.2245,1.8462,0.766301
2.2,15.7143,-6.3590,-1.779922
0.6,18.9796,-4.7179,-1.783809
0.6,12.0408,8.0000,-1.772071
1.8,21.8367,-5.5385,-1.767045
1.0,19.7959,5.9487,-1.335606
1.0,25.1020,7.1795,-0.126873
0.6,17.7551,5.1282,-1.550496
2.2,12.8571,-4.7179,-1.783809
2.2,18.5714,7.1795,-1.784744
1.0,21.8367,8.0000,-2.493146
0.2,25.1020,-6.3590,-1.779921
1.4,17.3469,4.3077,-1.845935
1.4,26.7347,-5.1282,-3.155006
0.2,13.2653,7.1795,-1.784743
0.6,25.1020,-6.7692,-1.769604
1.0,23.0612,-4.7179,-3.271120
1.0,17.3469,3.4872,-0.401030
0.6,12.0408,3.0769,-1.434102
0.2,13.6735,0.2051,-0.865628
1.8,14.0816,-7.5897,-1.778969
1.4,16.9388,-7.5897,-1.778968
0.6,16.9388,3.8974,-0.101734
0.6,23.4694,8.0000,-2.371782
1.4,29.5918,-5.1282,-3.366893
1.0,14.8980,-6.3590,-1.779922
1.4,28.7755,-5.5385,-3.203282
2.2,10.4082,-2.2564,-1.779150
2.2,10.8163,8.0000,-1.772071
1.0,28.3673,-4.3077,-3.370773
0.6,26.3265,-3.8974,-3.109715
0.2,14.0816,3.0769,-1.880182
1.8,30.0000,-4.3077,-3.356951
0.6,18.1633,6.3590,-0.472691
1.0,23.0612,-5.1282,-2.729136
0.2,23.0612,8.0000,-1.357994
0.6,10.8163,-1.4359,-2.854210
0.2,17.7551,4.7179,-2.229421
2.2,16.5306,-3.0769,-0.709752
1.0,11.6327,-3.8974,-1.780419
1.0,14.8980,0.6154,-0.510409
1.8,18.9796,-5.1282,-1.780472
2.2,17.3469,3.0769,-1.782278
1.4,29.5918,7.5897,0.057563
1.8,19.7959,-3.0769,-3.363141
0.6,21.4286,-3.0769,-3.049875
2.2,23.4694,7.1795,-1.573222
0.6,16.5306,3.4872,-0.224525
0.6,10.0000,-2.2564,-0.040529
1.4,14.0816,1.8462,0.253248
1.0,25.1020,6.7692,-1.317678
1.4,23.8776,7.5897,-1.968677
1.8,23.8776,-2.2564,-3.359331
0.6,13.2653,-3.0769,-2.896817
1.8,17.3469,-6.7692,-1.769606
1.8,19.7959,-3.8974,-3.378296
0.2,21.8367,-1.0256,-2.866633
1.4,19.3878,-3.0769,-3.330472
0.6,13.2653,7.5897,-1.778969
0.6,14.4898,-4.7179,-1.783809
0.2,23.0612,-3.0769,-3.289678
1.0,24.6939,-7.5897,-1.778967
0.6,17.3469,5.9487,-1.620322
0.2,12.8571,1.8462,0.877437
0.6,28.3673,-3.0769,-3.135855
2.2,21.8367,-3.4872,-3.367294
1.0,21.0204,-3.4872,-2.492336
2.2,10.4082,2.6667,-1.702539
0.2,28.7755,-1.8462,-2.454698
1.4,17.7551,3.0769,-0.298310
1.0,20.2041,4.7179,-1.753481
0.6,19.3878,5.5385,-1.831290
0.6,13.6735,4.7179,-2.053086
0.6,25.9184,-1.4359,-3.382576
0.2,24.6939,-3.8974,-3.280893
1.4,17.7551,-5.1282,-1.780472
0.6,13.2653,-1.0256,-2.281176
1.4,18.5714,3.8974,-0.906017
0.2,25.5102,-0.6154,-2.938296
0.6,20.2041,-2.6667,-2.705098
1.0,22.6531,-4.3077,-3.324449
2.2,21.0204,4.3077,-1.603045
0.6,27.1429,-5.9487,-3.154923
0.2,16.9388,0.2051,-0.172945
1.4,14.8980,-8.0000,-1.772069
1.0,16.5306,-4.7179,-1.783809
1.8,21.0204,7.5897,-2.022608
1.4,17.3469,2.6667,-0.489541
2.2,29.1837,7.1795,-1.362506
1.0,29.1837,-6.3590,-3.333529
2.2,30.0000,7.1795,-1.257821
1.8,27.9592,-3.4872,-3.380410
2.2,21.8367,5.9487,-0.514673
0.6,12.0408,-3.8974,-1.780419
1.8,15.7143,-0.2051,-3.355640
2.2,14.0816,-4.7179,-1.783809
1.4,26.7347,-3.8974,-2.390844
1.8,27.9592,8.0000,-1.103233
1.0,21.4286,-3.8974,-3.204123
1.0,16.9388,-8.0000,-1.772068
1.4,10.0000,-4.3077,-1.764598
1.0,21.0204,-4.3077,-2.951476
0.6,14.0816,3.4872,-1.230857
0.6,13.6735,-0.6154,-3.074300
2.2,12.0408,1.8462,0.239332
0.6,20.6122,5.5385,-1.518472
1.0,10.4082,2.2564,-0.432879
2.2,12.0408,6.3590,-1.779922
2.2,14.0816,-2.2564,-0.881508
1.0,27.9592,6.7692,-1.172573
2.2,12.4490,1.4359,-1.562397
2.2,21.0204,-8.0000,-1.772066
2.2,27.1429,-8.0000,-1.772064
0.2,14.0816,1.4359,0.426129
1.0,12.8571,-1.8462,-3.078317
2.2,22.2449,6.3590,-0.816758
0.2,29.5918,-5.9487,-2.648791
1.0,12.8571,5.1282,-1.780471
1.8,21.8367,4.3077,-1.007938
1.8,29.1837,-3.0769,-3.367194
1.0,17.3469,2.6667,0.211561
1.0,14.8980,1.4359,0.260951
1.8,25.9184,-5.9487,-1.784400
1.0,25.5102,7.5897,-1.867342
2.2,10.0000,-3.8974,-1.780419
1.8,14.8980,-6.7692,-1.769610
