F_AVG,DELTA1,DELTA2,DELTA_F,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
20.0000,-6.3264,-12.1632,4.1840,1.373013e-03,-2.8623,0,0,0.000001
20.0000,-6.3264,-12.1632,4.3932,1.451900e-03,-2.8381,0,0,0.000001
20.0000,-6.3264,-12.1632,4.6024,1.534858e-03,-2.8139,0,0,0.000001
20.0000,-6.3264,-12.1632,4.8116,1.622083e-03,-2.7899,0,0,0.000001
20.0000,-6.3264,-12.1632,5.0208,1.713566e-03,-2.7661,0,0,0.000001
20.0000,-6.1172,-12.0586,0.0000,2.053506e-02,-1.6875,0,0,0.000001
20.0000,-6.1172,-12.0586,0.2092,4.218828e-04,-3.3748,0,0,0.000001
20.0000,-6.1172,-12.0586,0.4184,4.330811e-04,-3.3634,0,0,0.000001
20.0000,-6.1172,-12.0586,0.6276,4.464807e-04,-3.3502,0,0,0.000001
20.0000,-6.1172,-12.0586,0.8368,4.647595e-04,-3.3328,0,0,0.000001
20.0000,-6.1172,-12.0586,1.0460,4.875348e-04,-3.3120,0,0,0.000001
20.0000,-6.1172,-12.0586,1.2552,5.128560e-04,-3.2900,0,0,0.000001
20.0000,-6.1172,-12.0586,1.4644,5.411513e-04,-3.2667,0,0,0.000001
20.0000,-6.1172,-12.0586,1.6736,5.722307e-04,-3.2424,0,0,0.000001
20.0000,-6.1172,-12.0586,1.8828,6.061105e-04,-3.2174,0,0,0.000001
20.0000,-6.1172,-12.0586,2.0920,6.428249e-04,-3.1919,0,0,0.000001
20.0000,-6.1172,-12.0586,2.3012,6.829745e-04,-3.1656,0,0,0.000001
20.0000,-6.1172,-12.0586,2.5104,7.263874e-04,-3.1388,0,0,0.000001
20.0000,-6.1172,-12.0586,2.7196,7.731683e-04,-3.1117,0,0,0.000001
20.0000,-6.1172,-12.0586,2.9288,8.235802e-04,-3.0843,0,0,0.000001
20.0000,-6.1172,-12.0586,3.1380,8.776473e-04,-3.0567,0,0,0.000001
