f_avg,delta1,log10_nmse
18.2008,-7.7895,-2.657321
15.4812,-7.7895,-2.683233
13.8075,-7.7895,-2.669102
15.0628,-7.7895,-2.670246
19.2469,-7.7895,-2.613032
17.9916,-7.7895,-2.632222
11.2971,-7.7895,-2.773860
8.1590,-7.7895,-2.732005
14.2259,-7.7895,-2.691222
4.8117,-7.7895,-2.595086
12.3431,-7.7895,-2.704610
5.8577,-7.7895,-2.729548
15.2720,-7.7895,-2.699099
14.6444,-7.7895,-2.701264
11.9247,-7.7895,-2.783729
12.7615,-7.7895,-2.749725
16.5272,-7.7895,-2.699141
13.1799,-7.7895,-2.671121
38.2845,-8.0000,-3.090325
39.5397,-8.0000,-2.986782
38.7029,-8.0000,-2.959761
38.9121,-8.0000,-3.247645
39.3305,-8.0000,-3.190749
39.1213,-8.0000,-3.161291
38.4937,-8.0000,-3.257133
29.7071,-7.7895,-1.748441
30.3347,-7.7895,-1.749077
29.2887,-7.7895,-1.748163
30.1255,-7.7895,-1.745022
29.0795,-7.7895,-1.748318
29.9163,-7.7895,-1.748779
28.6611,-7.7895,-2.464936
28.2427,-7.7895,-2.506649
28.4519,-7.7895,-2.528948
28.0335,-7.7895,-2.535761
29.4979,-7.7895,-1.748176
27.8243,-7.7895,-2.590017
30.5439,-7.7895,-1.748639
28.8703,-7.7895,-2.483615
30.7531,-7.7895,-1.748144
31.1715,-7.7895,-1.746406
31.3808,-7.7895,-1.747632
30.9623,-7.7895,-1.748803
31.5900,-7.7895,-1.747865
31.7992,-7.7895,-1.748691
32.2176,-7.7895,-1.747326
32.0084,-7.7895,-1.748454
32.6360,-7.7895,-1.748596
33.4728,-7.7895,-1.747399
35.7741,-7.7895,-1.746610
32.4268,-7.7895,-1.747464
34.7280,-7.7895,-1.746627
34.3096,-7.7895,-1.748696
35.3556,-7.7895,-1.748729
33.2636,-7.7895,-1.746960
32.8452,-7.7895,-1.748584
33.6820,-7.7895,-1.748565
34.1004,-7.7895,-1.748452
41.4226,-7.7895,-1.748416
35.1464,-7.7895,-1.748587
35.5649,-7.7895,-1.748764
42.2594,-7.7895,-1.746411
36.4017,-7.7895,-1.748037
33.0544,-7.7895,-1.748434
41.0042,-7.7895,-1.748579
34.9372,-7.7895,-1.746254
36.1925,-7.7895,-1.748830
41.6318,-7.7895,-1.747192
45.8159,-7.7895,-1.747596
42.4686,-7.7895,-1.748332
33.8912,-7.7895,-1.748873
42.0502,-7.7895,-1.745763
41.2134,-7.7895,-1.747680
44.3515,-7.7895,-1.748752
35.9833,-7.7895,-1.747746
0.0000,-7.5789,0.010862
41.8410,-7.7895,-1.747333
43.0962,-7.7895,-1.745994
36.6109,-7.7895,-1.748749
34.5188,-7.7895,-1.748531
3.1381,-7.5789,-2.591811
3.3473,-7.5789,-2.553042
0.4184,-7.5789,-1.962377
1.2552,-7.5789,-2.803169
1.0460,-7.5789,-2.857473
0.6276,-7.5789,-2.549166
5.2301,-7.5789,-2.658265
0.8368,-7.5789,-2.847479
1.4644,-7.5789,-2.894057
2.9289,-7.5789,-2.436218
2.0921,-7.5789,-2.755249
4.1841,-7.5789,-2.652803
5.4393,-7.5789,-2.595210
4.3933,-7.5789,-2.625446
1.6736,-7.5789,-2.813431
5.6485,-7.5789,-2.550458
0.2092,-7.5789,-1.539673
3.7657,-7.5789,-2.665257
2.5105,-7.5789,-2.570667
3.9749,-7.5789,-2.768730
3.5565,-7.5789,-2.734467
5.8577,-7.5789,-2.699323
7.3222,-7.5789,-2.723429
2.7197,-7.5789,-2.405033
1.8828,-7.5789,-2.648414
2.3013,-7.5789,-2.676604
6.6946,-7.5789,-2.724643
4.6025,-7.5789,-2.713040
6.2762,-7.5789,-2.711757
7.7406,-7.5789,-2.657248
6.0669,-7.5789,-2.686343
6.4854,-7.5789,-2.702833
7.1130,-7.5789,-2.725643
4.8117,-7.5789,-2.667484
6.9038,-7.5789,-2.743008
5.0209,-7.5789,-2.711565
41.8410,-8.0000,-3.250752
40.1674,-8.0000,-3.239456
8.1590,-7.5789,-2.652688
41.4226,-8.0000,-3.216700
39.9582,-8.0000,-3.219119
41.6318,-8.0000,-3.110799
7.5314,-7.5789,-2.751786
7.9498,-7.5789,-2.756454
40.3766,-8.0000,-3.075730
41.0042,-8.0000,-3.208427
40.7950,-8.0000,-3.179128
39.7490,-8.0000,-3.235879
45.3975,-8.0000,-3.208454
40.5858,-8.0000,-3.204283
45.6067,-8.0000,-2.955782
46.2343,-8.0000,-2.768814
8.3682,-7.5789,-2.786559
46.8619,-8.0000,-3.024135
41.2134,-8.0000,-3.019187
9.2050,-7.5789,-2.617722
48.1172,-8.0000,-3.167046
47.0711,-8.0000,-3.242053
8.7866,-7.5789,-2.715664
44.5607,-8.0000,-3.229480
47.6987,-8.0000,-2.902576
