F_AVG,DELTA1,DELTA2,NMSE,log10_NMSE,COMB_QI,COMB_PULSING,COMB_MOD_RATIO
0.4184,-0.4688,-9.2344,2.872477e-02,-1.5417,0,0,6.001592
0.4184,-0.2596,-9.1298,3.424633e-02,-1.4654,0,0,6.104178
0.4184,-0.0504,-9.0252,3.375586e-02,-1.4717,0,0,6.044501
0.4184,0.1588,-8.9206,6.595221e-02,-1.1808,0,0,6.026366
0.4184,0.3680,-8.8160,9.610854e-02,-1.0172,0,0,6.114424
0.4184,0.5772,-8.7114,2.466122e-02,-1.6080,0,0,6.006074
0.4184,0.7864,-8.6068,2.106305e-02,-1.6765,0,0,6.070478
0.4184,0.9956,-8.5022,2.101975e-02,-1.6774,0,0,6.072635
0.4184,1.2048,-8.3976,2.104492e-02,-1.6769,0,0,6.009495
0.4184,1.4140,-8.2930,2.080634e-02,-1.6818,0,0,6.091675
0.4184,1.6232,-8.1884,2.062548e-02,-1.6856,0,0,6.024930
0.4184,1.8324,-8.0838,2.096287e-02,-1.6785,0,0,6.052222
0.4184,2.0416,-7.9792,2.081885e-02,-1.6815,0,0,6.065506
0.4184,2.2508,-7.8746,2.059556e-02,-1.6862,0,0,6.018624
0.4184,2.4600,-7.7700,2.100481e-02,-1.6777,0,0,6.078968
0.4184,2.6692,-7.6654,2.064500e-02,-1.6852,0,0,6.024886
0.4184,2.8784,-7.5608,2.041803e-02,-1.6900,0,0,6.056844
0.4184,3.0876,-7.4562,2.094506e-02,-1.6789,0,0,6.053585
0.4184,3.2968,-7.3516,2.068056e-02,-1.6844,0,0,6.028132
0.4184,3.5060,-7.2470,2.042696e-02,-1.6898,0,0,6.072198
0.4184,3.7152,-7.1424,2.097861e-02,-1.6782,0,0,6.022932
0.4184,3.9244,-7.0378,2.057819e-02,-1.6866,0,0,6.063467
0.4184,4.1336,-6.9332,2.033698e-02,-1.6917,0,0,6.042399
0.4184,4.3428,-6.8286,2.093151e-02,-1.6792,0,0,6.038402
0.4184,4.5520,-6.7240,2.062505e-02,-1.6856,0,0,6.064517
0.4184,4.7612,-6.6194,2.035870e-02,-1.6912,0,0,6.023409
0.4184,4.9704,-6.5148,2.096175e-02,-1.6786,0,0,6.067326
0.4184,5.1796,-6.4102,2.054897e-02,-1.6872,0,0,6.032070
0.4184,5.3888,-6.3056,2.029837e-02,-1.6925,0,0,6.048347
0.4184,5.5980,-6.2010,2.092107e-02,-1.6794,0,0,6.053733
0.4184,5.8072,-6.0964,2.059966e-02,-1.6861,0,0,6.026689
0.4184,6.0164,-5.9918,2.032366e-02,-1.6920,0,0,6.066480
0.4184,6.2256,-5.8872,2.095012e-02,-1.6788,0,0,6.023920
0.4184,6.4348,-5.7826,2.053651e-02,-1.6875,0,0,6.057074
0.4184,6.6440,-5.6780,2.027701e-02,-1.6930,0,0,6.041257
0.4184,6.8532,-5.5734,2.091411e-02,-1.6796,0,0,6.034183
0.4184,7.0624,-5.4688,2.058734e-02,-1.6864,0,0,6.061229
0.4184,7.2716,-5.3642,2.030343e-02,-1.6924,0,0,6.020434
0.4184,7.4808,-5.2596,2.093997e-02,-1.6790,0,0,6.063914
0.4184,7.6900,-5.1550,2.053139e-02,-1.6876,0,0,6.029244
0.4184,7.8992,-5.0504,2.026408e-02,-1.6933,0,0,6.045528
0.6276,-8.0000,-13.0000,2.047941e-02,-1.6887,0,0,6.039168
0.6276,-7.7908,-12.8954,2.027849e-02,-1.6930,0,0,6.050404
0.6276,-7.5816,-12.7908,2.097364e-02,-1.6783,0,0,6.040173
0.6276,-7.3724,-12.6862,2.051314e-02,-1.6880,0,0,6.046639
0.6276,-7.1632,-12.5816,2.033069e-02,-1.6918,0,0,6.046329
0.6276,-6.9540,-12.4770,2.098176e-02,-1.6782,0,0,6.039996
0.6276,-6.7448,-12.3724,2.049333e-02,-1.6884,0,0,6.051970
0.6276,-6.5356,-12.2678,2.028862e-02,-1.6927,0,0,6.037500
0.6276,-6.3264,-12.1632,2.097082e-02,-1.6784,0,0,6.050909
0.6276,-6.1172,-12.0586,2.053545e-02,-1.6875,0,0,6.042814
0.6276,-5.9080,-11.9540,2.034862e-02,-1.6915,0,0,6.042958
0.6276,-5.6988,-11.8494,2.098138e-02,-1.6782,0,0,6.051863
0.6276,-5.4896,-11.7448,2.051420e-02,-1.6879,0,0,6.035668
0.6276,-5.2804,-11.6402,2.030774e-02,-1.6923,0,0,6.055629
0.6276,-5.0712,-11.5356,2.096837e-02,-1.6784,0,0,6.037723
0.6276,-4.8620,-11.4310,2.056784e-02,-1.6868,0,0,6.048671
0.6276,-4.6528,-11.3264,2.038193e-02,-1.6908,0,0,6.049069
0.6276,-4.4436,-11.2218,2.098434e-02,-1.6781,0,0,6.036202
0.6276,-4.2344,-11.1172,2.054787e-02,-1.6872,0,0,6.059732
0.6276,-4.0252,-11.0126,2.034554e-02,-1.6915,0,0,6.031524
0.6276,-3.8160,-10.9080,2.096968e-02,-1.6784,0,0,6.057755
0.6276,-3.6068,-10.8034,2.062530e-02,-1.6856,0,0,6.042355
0.6276,-3.3976,-10.6988,2.045112e-02,-1.6893,0,0,6.041465
0.6276,-3.1884,-10.5942,2.099304e-02,-1.6779,0,0,6.061448
0.6276,-2.9792,-10.4896,2.061103e-02,-1.6859,0,0,6.025743
0.6276,-2.7700,-10.3850,2.043048e-02,-1.6897,0,0,6.070928
0.6276,-2.5608,-10.2804,2.097526e-02,-1.6783,0,0,6.029804
0.6276,-2.3516,-10.1758,2.074978e-02,-1.6830,0,0,6.056733
0.6276,-2.1424,-10.0712,2.063069e-02,-1.6855,0,0,6.056439
0.6276,-1.9332,-9.9666,2.101380e-02,-1.6775,0,0,6.026184
0.6276,-1.7240,-9.8620,2.074931e-02,-1.6830,0,0,6.087654
0.6276,-1.5148,-9.7574,2.065384e-02,-1.6850,0,0,6.009119
0.6276,-1.3056,-9.6528,2.098728e-02,-1.6780,0,0,6.096671
0.6276,-1.0964,-9.5482,2.102215e-02,-1.6773,0,0,6.028962
0.6276,-0.8872,-9.4436,6.268888e-02,-1.2028,0,0,6.067791
0.6276,-0.6780,-9.3390,2.551886e-02,-1.5931,0,0,6.083504
0.6276,-0.4688,-9.2344,3.047259e-02,-1.5161,0,0,6.011037
0.6276,-0.2596,-9.1298,4.428442e-02,-1.3537,0,0,6.151592
0.6276,-0.0504,-9.0252,2.902545e-02,-1.5372,0,0,5.985454
0.6276,0.1588,-8.9206,3.768759e-02,-1.4238,0,0,6.126067
0.6276,0.3680,-8.8160,3.830928e-02,-1.4167,0,0,6.096090
0.6276,0.5772,-8.7114,2.648669e-02,-1.5770,0,0,5.985586
0.6276,0.7864,-8.6068,2.106305e-02,-1.6765,0,0,6.135340
0.6276,0.9956,-8.5022,2.101975e-02,-1.6774,0,0,6.048241
0.6276,1.2048,-8.3976,2.104492e-02,-1.6769,0,0,6.017806
0.6276,1.4140,-8.2930,2.080633e-02,-1.6818,0,0,6.117617
0.6276,1.6232,-8.1884,2.062550e-02,-1.6856,0,0,6.004234
0.6276,1.8324,-8.0838,2.096280e-02,-1.6786,0,0,6.075413
0.6276,2.0416,-7.9792,2.081890e-02,-1.6815,0,0,6.065004
0.6276,2.2508,-7.8746,2.059556e-02,-1.6862,0,0,6.013011
0.6276,2.4600,-7.7700,2.100487e-02,-1.6777,0,0,6.097240
0.6276,2.6692,-7.6654,2.064502e-02,-1.6852,0,0,6.011722
0.6276,2.8784,-7.5608,2.041819e-02,-1.6900,0,0,6.070401
0.6276,3.0876,-7.4562,2.094463e-02,-1.6789,0,0,6.053094
0.6276,3.2968,-7.3516,2.068020e-02,-1.6844,0,0,6.024248
0.6276,3.5060,-7.2470,2.042697e-02,-1.6898,0,0,6.084957
0.6276,3.7152,-7.1424,2.097851e-02,-1.6782,0,0,6.011511
0.6276,3.9244,-7.0378,2.057811e-02,-1.6866,0,0,6.075896
0.6276,4.1336,-6.9332,2.033706e-02,-1.6917,0,0,6.038539
0.6276,4.3428,-6.8286,2.093151e-02,-1.6792,0,0,6.038356
0.6276,4.5520,-6.7240,2.062507e-02,-1.6856,0,0,6.072758
0.6276,4.7612,-6.6194,2.035879e-02,-1.6912,0,0,6.013417
